Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Ejercicio físico;Total
Mujeres;Total;País Vasco;Realizando tareas que requieren gran esfuerzo físico;1,90
Mujeres;Total;País Vasco;No aplicable;0,51
Mujeres;Total;Rioja (La);TOTAL;100,00
Mujeres;Total;Rioja (La);Sentado/a la mayor parte del día;35,35
Mujeres;Total;Rioja (La);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;38,18
Mujeres;Total;Rioja (La);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;23,42
Mujeres;Total;Rioja (La);Realizando tareas que requieren gran esfuerzo físico;2,28
Mujeres;Total;Rioja (La);No aplicable;0,77
Mujeres;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);Sentado/a la mayor parte del día;27,68
Mujeres;Total;Ceuta (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;44,64
Mujeres;Total;Ceuta (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;25,47
Mujeres;Total;Ceuta (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;0,00
Mujeres;Total;Ceuta (Ciudad Autónoma de);No aplicable;2,22
Mujeres;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Mujeres;Total;Melilla (Ciudad Autónoma de);Sentado/a la mayor parte del día;30,71
Mujeres;Total;Melilla (Ciudad Autónoma de);De pie la mayor parte de la jornada sin efectuar grandes desplazamientos o esfuerzos;60,22
Mujeres;Total;Melilla (Ciudad Autónoma de);Caminando,llevando algún peso, efectuando desplazamientos frecuentes;9,08
Mujeres;Total;Melilla (Ciudad Autónoma de);Realizando tareas que requieren gran esfuerzo físico;0,00
Mujeres;Total;Melilla (Ciudad Autónoma de);No aplicable;0,00
